"Allow customers to print a return form for a previous order.","Dem Kunden ermöglichen, einen Retourenschein für eine Sendung zu erstellen."
"Allowed shipping methods","Erlaubte Versandarten"
"An error occurred while retrieving the return label. Please contact customer support.","Während des Abrufs des Retourenlabels ist ein Fehler aufgetreten. Bitte kontaktieren Sie den Kunden-Support."
"Check shipping address for DHL Online Return","Versandadresse prüfen für DHL Online Retoure"
"CMS Revocation Page","CMS-Seite Widerrufsbelehrung"
"Country","Land"
"Create your <a href=""%s"">return label</a> online and deliver your parcel to a <a href=""%s"">nearby location</a>.","Erstellen Sie Ihr <a href=""%s"">Retourenlabel</a> online und geben Sie Ihr Paket an einer <a href=""%s"">Abgabestelle in Ihrer Nähe</a> ab."
"DHL Online Return will only be offered to the customer if the original order was placed with these shipping methods.","DHL Online Returoure wird dem Kunden nur angeboten, wenn die ursprüngliche Bestellung mit diesen Versandarten aufgegeben wurde."
"DHL Online Return is not available for your country.","DHL Online Retoure ist für Ihr Land nicht verfügbar."
"DHL Online Return is not available for your shipping method.","DHL Online Retoure ist für Ihre Versandart nicht freigeschaltet."
"DHL Online Return","DHL Online Retoure"
"Enabled","Aktiviert"
"Generate Return Form","Retouren-Label erzeugen"
"Item","Artikel"
"Logging enabled","Logging aktiviert"
"No order ID was given.","Es wurde keine Bestellnummer angegeben."
"Online Return","Online Retoure"
"Password","Passwort"
"Please click <a href=""%s"">here</a> to create a return label for your order.","Bitte klicken Sie <a href=""%s"">hier</a> um ein Retouren-Label für Ihre Bestellung zu erstellen."
"Please log in to access DHL Online Return.","Bitte melden Sie sich an, um ein Retouren-Label für diese Bestellung zu erzeugen."
"Please select items to return.","Bitte wählen Sie Retouren-Artikel aus."
"Portal Id","Portal ID"
"Qty Shipped","Versandt"
"Qty to Return","Retournieren"
"Receiver ID","Retourenempfängername"
"Return label with shipment number %s successfully created on %s.","Retouren-Label mit Sendungsnummer %s wurde am %s erzeugt."
"Return labels can be created only if the order was already shipped.","Retouren-Labels können nur für Bestellungen erstellt werden, die bereits versendet wurden."
"Return Order","Bestellung retournieren"
"Return Shipments","Rücksendungen"
"Revocation","Widerrufsbelehrung"
"Select Country","Land auswählen"
"Select the weight unit that is used in your product catalog.","Geben Sie die Einheit für das im Katalog verwendete Produktgewicht an."
"Select the weight unit that is used in your Product Catalog.","Geben Sie die Einheit für das im Katalog verwendete Produktgewicht an."
"Selected country ""%s"" is not applicable for online return.","Rücksendungen aus ""%s"" können nicht mit DHL Online Retoure abgewickelt werden."
"Shipment #%s","Lieferschein #%s"
"SKU","Artikelnummer"
"The requested order does not exist.","Die Bestellung existiert nicht."
"The web service request failed with the following error message: ""%s""", "Die Webservice-Anfrage schlug mit der folgenden Meldung fehl: ""%s"""
"User","Benutzer"
"Verify Shipping Address","Versandadresse prüfen"
"You are not allowed to create a return for the current order.","Sie haben keine Berechtigung, für diese Bestellung eine Retoure zu erstellen."
"Your shipment was not sent yet. Because of this no return label can be created currently.","Ihre Sendung wurde noch nicht verschickt. Deshalb können Sie für diese Sendung noch kein Retourenlabel erstellen."
